,.value,.end_time,.value.Search,.value.Your Page,.value.News Feed,.value.Other,.value.Restored Likes from Reactivated Accounts,.value.Suspicious Account Removals,".value.Unlikes from Page, Posts, or News Feed",.value.Deactivated or Memorialized Account Removals,.value.hide_all_clicks,.value.hide_clicks,.value.link,.value.like,.value.comment,.value.other,.value.0,.value.1,.value.2,.value.3,.value.4,.value.5,.value.6,.value.7,.value.8,.value.9,.value.10,.value.11,.value.12,.value.13,.value.14,.value.15,.value.16,.value.17,.value.18,.value.19,.value.20,.value.21,.value.22,.value.23,.value.Hoorn,.value.Bergen op Zoom,.value.Ede,.value.Spijkenisse,.value.Vlaardingen,.value.Helmond,.value.Purmerend,.value.Venlo,.value.Zaandam,.value.Emmen,.value.Hengelo,.value.Assen,.value.Almelo,.value.Delft,.value.Alkmaar,.value.Lelystad,.value.Deventer,".value.Willemstad, Curaçao",.value.Alphen aan den Rijn,.value.Hilversum,.value.Dordrecht,.value.Heerlen,".value.Antwerpen, België",.value.Zwolle,.value.Amersfoort,.value.Maastricht,.value.Zoetermeer,.value.Leiden,.value.Apeldoorn,.value.Leeuwarden,.value.Breda,.value.Haarlem,.value.'s-Hertogenbosch,.value.Enschede,.value.Tilburg,.value.Nijmegen,.value.Arnhem,.value.Eindhoven,.value.Almere,.value.Groningen,".value.Paramaribo, Suriname",.value.Utrecht,.value.Den Haag,.value.Rotterdam,.value.Amsterdam,.value.Gouda,.value.NO,.value.DE,.value.TW,.value.BE,.value.PT,.value.DK,.value.NZ,.value.FR,.value.HU,.value.BQ,.value.BR,.value.SE,.value.MA,.value.DZ,.value.ID,.value.GB,.value.IE,.value.CA,.value.US,.value.SR,.value.EG,.value.IL,.value.AE,.value.SX,.value.CH,.value.IN,.value.SY,.value.ZA,.value.IQ,.value.MX,.value.GR,.value.IT,.value.ES,.value.AT,.value.TH,.value.AU,.value.CW,.value.AW,.value.PH,.value.TN,.value.PK,.value.PL,.value.RO,.value.TR,.value.NL,.value.U.55-64,.value.M.55-64,.value.U.35-44,.value.F.45-54,.value.M.18-24,.value.M.35-44,.value.F.25-34,.value.U.65+,.value.U.18-24,.value.M.25-34,.value.F.13-17,.value.U.45-54,.value.F.65+,.value.F.55-64,.value.M.13-17,.value.M.65+,.value.F.35-44,.value.U.25-34,.value.M.45-54,.value.F.18-24,.value.ru_RU,.value.el_GR,.value.it_IT,.value.pl_PL,.value.ro_RO,.value.af_ZA,.value.tr_TR,.value.hi_IN,.value.id_ID,.value.pt_BR,.value.th_TH,.value.he_IL,.value.ja_JP,.value.fr_FR,.value.cs_CZ,.value.hu_HU,.value.de_DE,.value.nb_NO,.value.zh_HK,.value.zh_TW,.value.so_SO,.value.sk_SK,.value.es_ES,.value.nl_NL,.value.es_LA,.value.nl_BE,.value.sq_AL,.value.sv_SE,.value.da_DK,.value.fa_IR,.value.sr_RS,.value.cb_IQ,.value.bg_BG,.value.vi_VN,.value.mk_MK,.value.hr_HR,.value.ar_AR,.value.en_GB,.value.ka_GE,.value.en_US,.value.lt_LT,.value.uk_UA,.value.zh_CN,.value.pt_PT,.value.fy_NL,.value.am_ET,.value.U.13-17,.value.Veenendaal,".value.Gent, België",".value.Brugge, België",.value.Drachten,.value.RS,.value.FI,.value.BG,.value.JP,.value.LU,.value.KE,.value.MT,.value.CZ,.value.HK,.value.HR,.value.MK,.value.VN,.value.SG,.value.SK,.value.CO,.value.MY,.value.CY,.value.SA,.value.XK,.value.en_PI,.value.nn_NO,.value.is_IS,.value.fr_CA,.value.en_UD,.value.tn_BW,.value.fi_FI,.value.ga_IE,.value.tl_PH,.value.az_AZ,.value.bs_BA,.value.ca_ES,.value.ms_MY,.value.li_NL,.value.ko_KR,.value.sl_SI,.value.ps_AF,.value.fo_FO,.value.et_EE,.value.NG,.value.lv_LV,period,name,value,end_time
10,10.0,2022-02-06T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_haha_total,,
11,14.0,2022-02-07T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_haha_total,,
12,23.0,2022-02-08T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_haha_total,,
13,114.0,2022-02-09T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_haha_total,,
14,97.0,2022-02-10T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_haha_total,,
15,182.0,2022-02-04T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
16,158.0,2022-02-05T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
17,174.0,2022-02-06T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
18,150.0,2022-02-07T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
19,160.0,2022-02-08T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
20,257.0,2022-02-09T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
21,211.0,2022-02-10T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_like_total,,
22,19.0,2022-02-04T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
23,21.0,2022-02-05T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
24,19.0,2022-02-06T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
25,28.0,2022-02-07T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
26,35.0,2022-02-08T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
27,36.0,2022-02-09T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
28,16.0,2022-02-10T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_love_total,,
29,21.0,2022-02-04T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
30,11.0,2022-02-05T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
31,24.0,2022-02-06T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
32,13.0,2022-02-07T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
33,13.0,2022-02-08T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
34,23.0,2022-02-09T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
35,11.0,2022-02-10T08:00:00+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day,page_actions_post_reactions_sorry_total,,
